"V1" "V2" "V3" "V4" "V5"
"246" "218614" "101" "2478" "4e+06" "N2_EV2_star2"
"247" "218972" "98" "2482" "4e+06" "N2_EV2_star2"
"248" "218933" "104" "2468" "4e+06" "N2_EV2_star2"
"249" "218678" "115" "2471" "4e+06" "N2_EV2_star2"
"250" "218777" "103" "2439" "4e+06" "N2_EV2_star2"
"251" "218808" "99" "2461" "4e+06" "N2_EV2_star2"
"252" "218816" "108" "2489" "4e+06" "N2_EV2_star2"
"253" "218864" "99" "2479" "4e+06" "N2_EV2_star2"
"254" "218986" "113" "2469" "4e+06" "N2_EV2_star2"
"255" "218885" "101" "2464" "4e+06" "N2_EV2_star2"
"256" "228770" "107" "2521" "5e+06" "N2_EV2_star2"
"257" "229047" "121" "2507" "5e+06" "N2_EV2_star2"
"258" "228862" "112" "2518" "5e+06" "N2_EV2_star2"
"259" "228810" "113" "2507" "5e+06" "N2_EV2_star2"
"260" "229241" "113" "2506" "5e+06" "N2_EV2_star2"
"261" "228683" "112" "2520" "5e+06" "N2_EV2_star2"
"262" "229036" "112" "2530" "5e+06" "N2_EV2_star2"
"263" "228918" "114" "2529" "5e+06" "N2_EV2_star2"
"264" "228753" "104" "2512" "5e+06" "N2_EV2_star2"
"265" "228776" "117" "2509" "5e+06" "N2_EV2_star2"
"266" "229032" "113" "2515" "5e+06" "N2_EV2_star2"
"267" "229043" "115" "2521" "5e+06" "N2_EV2_star2"
"268" "228912" "114" "2524" "5e+06" "N2_EV2_star2"
"269" "228905" "106" "2515" "5e+06" "N2_EV2_star2"
"270" "228742" "113" "2519" "5e+06" "N2_EV2_star2"
"271" "18190" "14" "445" "50000" "N2_RNAi1_star2"
"272" "18258" "15" "413" "50000" "N2_RNAi1_star2"
"273" "18334" "9" "399" "50000" "N2_RNAi1_star2"
"274" "18126" "13" "410" "50000" "N2_RNAi1_star2"
"275" "18080" "18" "406" "50000" "N2_RNAi1_star2"
"276" "18145" "15" "387" "50000" "N2_RNAi1_star2"
"277" "17989" "12" "399" "50000" "N2_RNAi1_star2"
"278" "18124" "15" "418" "50000" "N2_RNAi1_star2"
"279" "18062" "14" "420" "50000" "N2_RNAi1_star2"
"280" "18195" "13" "411" "50000" "N2_RNAi1_star2"
"281" "18148" "18" "415" "50000" "N2_RNAi1_star2"
"282" "18067" "13" "415" "50000" "N2_RNAi1_star2"
"283" "18131" "11" "423" "50000" "N2_RNAi1_star2"
"284" "18242" "15" "406" "50000" "N2_RNAi1_star2"
"285" "18028" "17" "403" "50000" "N2_RNAi1_star2"
"286" "31201" "20" "620" "1e+05" "N2_RNAi1_star2"
"287" "31228" "19" "649" "1e+05" "N2_RNAi1_star2"
