"V1" "V2" "V3" "V4" "V5"
"216" "370126" "37" "2679" "100" "N2_EV1_star2"
"217" "370257" "37" "2673" "100" "N2_EV1_star2"
"218" "369986" "36" "2672" "100" "N2_EV1_star2"
"219" "370042" "37" "2676" "100" "N2_EV1_star2"
"220" "369830" "36" "2674" "100" "N2_EV1_star2"
"221" "370058" "37" "2671" "100" "N2_EV1_star2"
"222" "370034" "37" "2669" "100" "N2_EV1_star2"
"223" "369795" "39" "2664" "100" "N2_EV1_star2"
"224" "369913" "36" "2683" "100" "N2_EV1_star2"
"225" "369869" "39" "2683" "100" "N2_EV1_star2"
"226" "21369" "7" "576" "1" "N2_EV2_star2"
"227" "21219" "4" "548" "1" "N2_EV2_star2"
"228" "21468" "10" "552" "1" "N2_EV2_star2"
"229" "21456" "5" "535" "1" "N2_EV2_star2"
"230" "21563" "9" "577" "1" "N2_EV2_star2"
"231" "21344" "9" "562" "1" "N2_EV2_star2"
"232" "21437" "7" "536" "1" "N2_EV2_star2"
"233" "21345" "4" "541" "1" "N2_EV2_star2"
"234" "21455" "6" "553" "1" "N2_EV2_star2"
"235" "21513" "10" "533" "1" "N2_EV2_star2"
"236" "21498" "8" "584" "1" "N2_EV2_star2"
"237" "21450" "11" "572" "1" "N2_EV2_star2"
"238" "21517" "10" "552" "1" "N2_EV2_star2"
"239" "21450" "6" "547" "1" "N2_EV2_star2"
"240" "21403" "5" "581" "1" "N2_EV2_star2"
"241" "36598" "9" "830" "2" "N2_EV2_star2"
"242" "36812" "16" "865" "2" "N2_EV2_star2"
"243" "36638" "14" "850" "2" "N2_EV2_star2"
"244" "36578" "10" "875" "2" "N2_EV2_star2"
"245" "36794" "10" "847" "2" "N2_EV2_star2"
"246" "36976" "12" "834" "2" "N2_EV2_star2"
"247" "36850" "11" "862" "2" "N2_EV2_star2"
"248" "36501" "12" "831" "2" "N2_EV2_star2"
"249" "36746" "11" "877" "2" "N2_EV2_star2"
"250" "36794" "14" "855" "2" "N2_EV2_star2"
"251" "36687" "11" "867" "2" "N2_EV2_star2"
"252" "36851" "14" "821" "2" "N2_EV2_star2"
"253" "36894" "16" "850" "2" "N2_EV2_star2"
"254" "36863" "11" "830" "2" "N2_EV2_star2"
"255" "36824" "19" "833" "2" "N2_EV2_star2"
"256" "49491" "20" "1033" "3" "N2_EV2_star2"
"257" "49518" "19" "1053" "3" "N2_EV2_star2"
"258" "49564" "14" "1062" "3" "N2_EV2_star2"
"259" "49707" "23" "1037" "3" "N2_EV2_star2"
"260" "49518" "19" "1039" "3" "N2_EV2_star2"
"261" "49599" "20" "1043" "3" "N2_EV2_star2"
"262" "49672" "17" "1052" "3" "N2_EV2_star2"
"263" "49341" "21" "1056" "3" "N2_EV2_star2"
"264" "49598" "17" "1061" "3" "N2_EV2_star2"
"265" "49368" "16" "1044" "3" "N2_EV2_star2"
"266" "49530" "16" "1039" "3" "N2_EV2_star2"
"267" "49750" "20" "1042" "3" "N2_EV2_star2"
"268" "49473" "24" "1039" "3" "N2_EV2_star2"
"269" "49481" "17" "1086" "3" "N2_EV2_star2"
"270" "49144" "22" "1039" "3" "N2_EV2_star2"
"271" "70395" "29" "1318" "5" "N2_EV2_star2"
"272" "70398" "26" "1324" "5" "N2_EV2_star2"
"273" "69998" "35" "1355" "5" "N2_EV2_star2"
"274" "70263" "27" "1292" "5" "N2_EV2_star2"
"275" "70340" "28" "1356" "5" "N2_EV2_star2"
"276" "70265" "28" "1308" "5" "N2_EV2_star2"
"277" "70499" "24" "1310" "5" "N2_EV2_star2"
"278" "70376" "36" "1296" "5" "N2_EV2_star2"
"279" "70254" "24" "1339" "5" "N2_EV2_star2"
"280" "70327" "28" "1318" "5" "N2_EV2_star2"
"281" "70227" "28" "1355" "5" "N2_EV2_star2"
"282" "70095" "26" "1355" "5" "N2_EV2_star2"
"283" "70207" "24" "1329" "5" "N2_EV2_star2"
"284" "70408" "21" "1346" "5" "N2_EV2_star2"
"285" "70551" "27" "1357" "5" "N2_EV2_star2"
"286" "106396" "42" "1700" "10" "N2_EV2_star2"
"287" "106299" "42" "1734" "10" "N2_EV2_star2"
"288" "106533" "38" "1733" "10" "N2_EV2_star2"
"289" "106325" "40" "1716" "10" "N2_EV2_star2"
"290" "106295" "33" "1717" "10" "N2_EV2_star2"
"291" "106160" "35" "1705" "10" "N2_EV2_star2"
"292" "106407" "31" "1731" "10" "N2_EV2_star2"
"293" "106148" "41" "1755" "10" "N2_EV2_star2"
"294" "106312" "37" "1719" "10" "N2_EV2_star2"
"295" "106684" "43" "1722" "10" "N2_EV2_star2"
"296" "106321" "36" "1737" "10" "N2_EV2_star2"
"297" "106285" "42" "1697" "10" "N2_EV2_star2"
"298" "106706" "40" "1703" "10" "N2_EV2_star2"
"299" "106299" "45" "1743" "10" "N2_EV2_star2"
"300" "106122" "40" "1704" "10" "N2_EV2_star2"
"301" "147306" "50" "2069" "20" "N2_EV2_star2"
"302" "146894" "53" "2034" "20" "N2_EV2_star2"
"303" "147211" "58" "2051" "20" "N2_EV2_star2"
"304" "147249" "48" "2053" "20" "N2_EV2_star2"
"305" "147485" "61" "2062" "20" "N2_EV2_star2"
"306" "147268" "56" "2074" "20" "N2_EV2_star2"
"307" "147480" "55" "2106" "20" "N2_EV2_star2"
"308" "147312" "56" "2036" "20" "N2_EV2_star2"
"309" "147194" "60" "2068" "20" "N2_EV2_star2"
"310" "147251" "59" "2019" "20" "N2_EV2_star2"
"311" "147376" "55" "2038" "20" "N2_EV2_star2"
"312" "147384" "56" "2060" "20" "N2_EV2_star2"
"313" "146952" "61" "2055" "20" "N2_EV2_star2"
"314" "147133" "51" "2061" "20" "N2_EV2_star2"
"315" "147187" "57" "2056" "20" "N2_EV2_star2"
"316" "170985" "67" "2207" "30" "N2_EV2_star2"
"317" "170967" "71" "2250" "30" "N2_EV2_star2"
"318" "170870" "68" "2187" "30" "N2_EV2_star2"
"319" "170760" "61" "2224" "30" "N2_EV2_star2"
"320" "171075" "65" "2223" "30" "N2_EV2_star2"
"321" "171091" "69" "2202" "30" "N2_EV2_star2"
"322" "171185" "71" "2199" "30" "N2_EV2_star2"
"323" "170851" "78" "2205" "30" "N2_EV2_star2"
"324" "171020" "76" "2225" "30" "N2_EV2_star2"
"325" "171366" "67" "2197" "30" "N2_EV2_star2"
"326" "170926" "72" "2198" "30" "N2_EV2_star2"
"327" "170998" "70" "2200" "30" "N2_EV2_star2"
"328" "170998" "67" "2206" "30" "N2_EV2_star2"
"329" "170941" "76" "2217" "30" "N2_EV2_star2"
"330" "171094" "72" "2228" "30" "N2_EV2_star2"
"331" "186829" "83" "2307" "40" "N2_EV2_star2"
"332" "187046" "73" "2305" "40" "N2_EV2_star2"
"333" "187156" "79" "2300" "40" "N2_EV2_star2"
"334" "187061" "73" "2285" "40" "N2_EV2_star2"
"335" "186972" "82" "2282" "40" "N2_EV2_star2"
"336" "186959" "78" "2323" "40" "N2_EV2_star2"
"337" "187394" "82" "2313" "40" "N2_EV2_star2"
"338" "187185" "90" "2302" "40" "N2_EV2_star2"
"339" "187526" "79" "2299" "40" "N2_EV2_star2"
"340" "187194" "73" "2295" "40" "N2_EV2_star2"
"341" "186826" "86" "2303" "40" "N2_EV2_star2"
"342" "187071" "83" "2299" "40" "N2_EV2_star2"
"343" "187357" "77" "2290" "40" "N2_EV2_star2"
"344" "187064" "89" "2304" "40" "N2_EV2_star2"
"345" "187007" "78" "2295" "40" "N2_EV2_star2"
"346" "198884" "91" "2373" "50" "N2_EV2_star2"
"347" "198770" "79" "2373" "50" "N2_EV2_star2"
"348" "198873" "85" "2383" "50" "N2_EV2_star2"
"349" "198935" "88" "2389" "50" "N2_EV2_star2"
"350" "199089" "90" "2367" "50" "N2_EV2_star2"
"351" "199167" "83" "2363" "50" "N2_EV2_star2"
"352" "199081" "89" "2354" "50" "N2_EV2_star2"
"353" "198889" "77" "2379" "50" "N2_EV2_star2"
"354" "198914" "83" "2369" "50" "N2_EV2_star2"
"355" "198966" "89" "2369" "50" "N2_EV2_star2"
"356" "199197" "84" "2380" "50" "N2_EV2_star2"
"357" "199157" "94" "2385" "50" "N2_EV2_star2"
"358" "199333" "90" "2361" "50" "N2_EV2_star2"
"359" "199186" "93" "2376" "50" "N2_EV2_star2"
"360" "198541" "86" "2360" "50" "N2_EV2_star2"
"361" "208354" "88" "2414" "60" "N2_EV2_star2"
"362" "208598" "94" "2408" "60" "N2_EV2_star2"
"363" "208395" "88" "2434" "60" "N2_EV2_star2"
"364" "208304" "100" "2426" "60" "N2_EV2_star2"
"365" "208510" "95" "2421" "60" "N2_EV2_star2"
"366" "208106" "96" "2427" "60" "N2_EV2_star2"
